素材ID,原価G,買取G,最安の出典,基準Lv,落ちる率,個数,主地域,出典数
MAT_FIELD_FUR,1,1,畑ネズミの群れ,1,35%,1-2,田園の村,1
MAT_HORN_SMALL,1,1,角兎,1,25%,1,田園の村,1
MAT_BOAR_MEAT,2,1,畑荒らし猪,2,55%,1,田園の村,1
MAT_FANG,2,1,野犬,2,25%,1,田園の村,1
MAT_RED_FANG,2,1,赤牙狼の幼体,2,18%,1,田園の村,2
MAT_SLIME_GEL,2,1,緑スライム,2,65%,1,森,1
MAT_DIRTY_GEL,3,1,下水スライム,3,60%,1,王都,1
MAT_RAT_TAIL,3,1,下水大鼠,3,35%,1,王都,2
MAT_BAT_WING,4,2,洞窟蝙蝠,4,45%,1,ドワーフ洞窟,1
MAT_MOSS_PELT,4,2,苔狼,4,40%,1,森,1
MAT_POISON_SAC,4,2,森蜘蛛,4,20%,1,森,1
MAT_SPIDER_SILK,4,2,森蜘蛛,4,55%,1,森,1
MAT_WOLF_PELT,4,2,赤牙狼,4,35%,1,田園の村,2
MAT_CLEAR_GEL,5,2,川スライム,5,50%,1,森,1
MAT_MOTH_DUST,5,2,眠り蛾,5,50%,1,森,1
MAT_ORE_GEL,5,2,鉱石スライム,5,45%,1,ドワーフ洞窟,1
MAT_SALT_GEL,5,2,塩スライム,5,55%,1,交易都市,1
MAT_SAND_CARAPACE,5,2,砂潜り,5,40%,1,辺境の村,1
MAT_GULL_FEATHER,6,3,海鴎魔,6,45%,1,交易都市,1
MAT_RED_FANG_LARGE,6,3,赤牙狼の群れ親,6,100%,1,田園の村,1
MAT_STONE_BEETLE_SHELL,6,3,荒野石甲虫,6,55%,1,辺境の村,1
MAT_TREANT_BRANCH,6,3,若木のトレント,6,50%,1,森,1
MAT_CRAB_SHELL,7,3,大港蟹,7,60%,1,交易都市,1
MAT_KING_GEL_CORE,7,3,小型キングスライム,7,100%,1,森,4
MAT_POISON_FANG,7,3,毒飼い犬,7,40%,1,犯罪都市,1
MAT_ROCK_SCALE,7,3,岩鱗蜥蜴,7,60%,1,ドワーフ洞窟,1
MAT_BEETLE_SHELL,8,4,坑道甲虫,8,55%,1,ドワーフ洞窟,1
MAT_FROST_PELT,8,4,霜狼,8,55%,1,北陵要塞,1
MAT_RUIN_LIGHT,8,4,遺跡燐光,8,50%,1,古代神殿,1
MAT_COLD_HIDE,9,4,雪鎧猪,9,55%,1,北陵要塞,1
MAT_ICE_WING,9,4,氷洞蝙蝠,9,45%,1,北陵要塞,1
MAT_LARGE_BEAST_HIDE,9,4,森の大型魔獣,9,75%,1,森,1
MAT_LARGE_CLAW,9,4,森の大型魔獣,9,55%,1,森,1
MAT_ANCIENT_GEAR,11,5,古代衛兵像,11,45%,1,古代神殿,2
MAT_MIMIC_HINGE,11,5,倉庫ミミック,11,55%,1,犯罪都市,1
MAT_TUNNEL_WORM_HIDE,11,5,地底穿ち虫,11,50%,1,ドワーフ洞窟,1
MAT_WATER_LEECH_GLAND,11,5,水路吸血蛭,11,45%,1,黒嶺連合領,1
MAT_ASH_HOUND_HIDE,12,6,灰原猟犬,12,55%,1,黒嶺連合領,1
MAT_ASSASSIN_TOKEN,12,6,貴族派の刺客,12,65%,1,王都,1
MAT_NORTH_HORN,12,6,北境の角獣,12,60%,1,北陵要塞,1
MAT_TRANSFER_SHARD,12,6,転移残響,12,55%,1,古代神殿,1
MAT_ASH_HORN,14,7,荒角獣,14,60%,1,黒嶺連合領,1
MAT_CHIMERA_GLAND,14,7,黒市合成獣,14,80%,1,犯罪都市,1
MAT_MANA_GEL,14,7,膨張キングスライム,14,100%,2-4,森,1
MAT_CLIFF_FEATHER,15,7,崖翼狩り,15,55%,1,黒嶺連合領,1
MAT_GOLEM_CORE,16,8,崩落ゴーレム,16,60%,1,ドワーフ洞窟,1
MAT_WAR_HOUND_FANG,17,8,軍用戦犬,17,45%,1,北陵要塞,1
MAT_BLACK_FEATHER_MARK,18,9,黒羽の暗殺者,18,80%,1,犯罪都市,1
MAT_RIFT_FRAGMENT,18,9,召喚亀裂の断片,18,60%,1,王都,1
MAT_CORRUPTED_WOOD,20,10,腐蝕トレント,20,65%,1,エルフの隠れ里,1
MAT_ASH_BRANCH,22,11,灰枝の亡霊,22,50%,1,森,1
MAT_HOLLOW_CORE,22,11,空殻の勇者,22,100%,1,王都,1
MAT_WAR_BEAST_PLATE,22,11,黒嶺軍獣,22,70%,1,黒嶺連合領,1
MAT_WORLD_TREE_MANA,22,11,巨大キングスライム,22,50%,1,森,1
MAT_ASH_SPIRIT_CORE,23,11,灰樹精,23,55%,1,エルフの隠れ里,1
MAT_SIEGE_PART,23,11,外国攻城弩台,23,75%,1,交易都市,1
MAT_BARRIER_SHARD,24,12,結界喰い,24,45%,1,森,1
MAT_COLOSSUS_CORE,24,12,機械巨神兵・封印残存期,24,100%,1,古代神殿,2
MAT_BLACKRIDGE_COMMAND_SEAL,27,13,黒嶺侵攻軍・隊長,27,100%,1,黒嶺連合領,1
MAT_WORLD_TREE_FRAGMENT,27,13,世界樹喰らいの王粘体,27,100%,1,森,1
MAT_ANCIENT_REACTOR,29,14,機械巨神兵・完全起動,29,100%,1,古代神殿,1
