装備ID,装備名,装備枠,武器種,持ち方,防具分類,Tier,推奨Lv下限,推奨Lv上限,地域系統,物理威力,魔導威力,防御,魔法耐性,素早さ補正,幸運補正,命中補正,回避補正,会心補正,デバフ成功補正,デバフ耐性補正,最大HP補正,最大MP補正,付与スキルID,パッシブ効果,欠点,売却率,性能指数,説明,状態,売り場,施設ID,基準価格G,在庫,初期販売,解禁条件,価格変動/条件
EQP-W-0201,麦刈り鎌,mainHand,axe,oneHand,none,0,1,5,田園,16,0,0,0,1,0,4,0,0,0,0,0,0,,,両手斧より一撃が軽い,0.45,17.2,穂を刈るための小鎌。軽くてよく当たるが、獣の骨は断てない。,active,農具修理屋「鋤刃」,LOC_FARM_REPAIR,10,普通,TRUE,,T02失敗で14G
EQP-W-0202,鳥追いの短弓,mainHand,bow,twoHand,none,0,1,5,田園,15,0,0,0,0,0,5,0,2,0,0,0,0,,,射程が短く、接近されると使えない,0.45,16.1,畑の鳥を追う子ども用の弓。狩人の弓には遠く及ばないが、村で唯一買える弓である。,active,田園の村,LOC_FARM_SQUARE,22,少,TRUE,,T03発生中は品薄
EQP-W-0203,野良仕事の突き棒,mainHand,spear,twoHand,none,0,1,6,田園,18,0,0,0,0,0,2,2,0,0,0,0,0,,,穂先が焼き入れされていない,0.45,19.0,牛を追う棒に鉄の穂先を打ちつけた物。村衛兵の長槍が借りられない時の代わり。,active,田園の村,LOC_FARM_STABLE,15,普通,TRUE,,
EQP-A-0201,麦藁の胴当て,body,,,light,0,1,5,田園,0,0,4,0,2,0,0,3,0,0,0,0,0,,,雨に弱い,0.45,6.4,編んだ麦藁を革紐で束ねた胴当て。綿入り上着より軽く、守りは薄い。,active,田園の村,LOC_FARM_BAKERY,6,多,TRUE,,
EQP-X-0201,石打ちの帯革,accessory,,,none,0,1,8,田園,0,0,0,0,0,1,0,0,3,0,0,0,0,,,,0.45,4.2,火打石を提げる革帯。手元が定まり、急所を捉えやすくなる。,active,田園の村,LOC_FARM_SQUARE,9,普通,TRUE,,
EQP-W-0204,罠師の吹き矢,mainHand,bow,oneHand,none,1,2,8,森,18,0,0,0,2,0,6,0,0,4,0,0,0,,,一撃が軽い,0.45,20.4,毒袋を仕込める細い吹き矢。damage より debuff で獲物を止める道具。,active,森,LOC_FOREST_HUNTER_HUT,34,少,TRUE,,T03中は48G
EQP-A-0202,獣脂引きの外套,body,,,light,1,2,9,森,0,0,9,4,0,0,0,0,0,0,3,0,0,,寒冷・降雨で疲労増加を軽減,,0.45,11.1,獣脂を塗り込んだ外套。狩人外套より安く、雨の森で三日保つ。,active,森,LOC_FOREST_HUNTER_HUT,38,普通,TRUE,,
EQP-X-0202,獣避けの牙房,accessory,,,none,1,2,12,森,0,0,0,0,0,0,0,4,0,0,5,0,0,,獣タグの敵からの被デバフ確率を下げる,,0.45,6.0,狼の牙を編んだ房。獣が嫌う匂いが染みている。,active,森,LOC_FOREST_HUNTER_HUT,26,少,TRUE,赤牙狼を1体以上撃破,
EQP-W-0205,下層の折れ剣,mainHand,oneHandedSword,oneHand,none,0,1,5,王都,17,0,0,0,1,0,3,0,0,0,0,0,0,,,刃こぼれしている,0.45,18.1,先の欠けた片手剣。研ぎ直せば使えると露天商が言う。王都で最も安い剣。,active,王都,LOC_CAP_LOWER_INN,14,多,TRUE,,T16悪化で品薄
EQP-W-0206,拾い物の写本,mainHand,book,oneHand,none,0,1,6,王都,2,13,0,2,0,0,0,0,0,3,0,0,4,,,綴じが緩く、頁が飛ぶ,0.45,14.3,下層で売られる写し損じの魔導書。読めるところだけが使える。,active,王都,LOC_CAP_LOWER_INN,16,普通,TRUE,,
EQP-S-0201,樽蓋の盾,offHand,,,shield,0,1,6,王都,0,0,8,0,-1,0,0,0,0,0,0,6,0,,,,0.45,9.2,酒樽の蓋に持ち手を付けた盾。木蓋の盾より一回り大きい。,active,王都,LOC_CAP_LOWER_INN,13,多,TRUE,,
EQP-X-0203,巡回兵の認識票,accessory,,,none,1,3,14,王都,0,0,0,0,0,2,3,0,0,0,0,8,0,,,,0.45,7.4,落とし物の認識票。持っていると下層で絡まれにくい。,active,王都,LOC_CAP_LOWER_INN,30,少,TRUE,,T16悪化で販売停止
EQP-W-0207,網舟の手鉤,mainHand,axe,oneHand,none,1,2,8,交易,24,0,0,0,1,0,0,0,6,0,0,0,0,,,水に濡れると滑る,0.45,25.4,網を手繰る鉤。斧として振れる形をしている。薪割り斧より軽い。,active,交易都市,LOC_TRADE_FISH_MARKET,29,普通,TRUE,,
