日時,項目,内容,補足
2026-08-06 22:00 JST,作業ブランチの整理,"指定ブランチ claude/trpg-virtue-route-main-143ar9 は origin/main と同一コミットで、PR #291 の資産を一切含んでいなかった。ユーザー確認のうえ origin/agent/trpg-human-authored-choices（Head ab82a5b）を土台に作り直し、同名ブランチへ push した。以後の作業はこのブランチで行う。PR #291 のブランチには触れていない。",Head ab82a5b から分岐 / 新規PRは未作成
2026-08-06 22:00 JST,Phase0・回帰35件失敗の切り分け,"npm run trpg:test のベースラインが 596件中35件失敗。内訳は環境要因6件（node_modules 未インストールにより sharp / express / @google-generative-ai が解決できず approved-narrative-priority, day100-player-runner, gemini-v4, narrative-conversation-boundaries, trpg-assets, trpg-ui-contract が起動不能）と、実質的破損29件。",npm install で6件解消
2026-08-06 22:00 JST,Phase0・29件の根本原因と修正,"8/6のゲート厳格化（e72b585 / ccbff25 / c20233e）で T01 救出後三択が mission.completedAt と worldFlags.t01FinnReturned を必須にしたが、Day1〜Day8 の下流テスト6ファイルの fixture が status のみのままだった。exclusive actions が null を返し .find で TypeError となって29件が連鎖失敗していた。fixture を aftercare テストと同じ正本形へ揃えて解消。ゲートとアサーションは一切弱めていない。",commit cee72d2 / 642件全成功
2026-08-06 22:00 JST,T02夜明け分岐の実装,"Day5 の穀倉炎上直後を手書き。人を先に数える（トーマ失踪→水車小屋で自責が灯皿の証言へ裏返る）、焼け跡に縄を張る（踏み荒らし前の油筋と村務帳の公式記録）、残った食料を数える（十日の猶予・パン屋の控え・第二の仕入先）の3系統。各枝に固有の後続場面3択を付け、合計4場面12択。全枝が正史のT02三真因（放火・雇われた男・契約操作）へ別経路で接続する。",commit da49389 / authored-mission-flow-t02-granary-dawn.js
2026-08-06 22:00 JST,T02夜明けの因果を調査へ接続,"夜明けのフラグが記録されるだけだった問題を修正。縄を張っていれば緊急配給後も土間の油筋が生き残り、劣化版 SOOT_LAYER(52分) ではなく保全版 CORDONED_OIL_TRACK(34分) が使える。粉樽を数えていれば債務凍結後の契約立証が TAX_COPY(64分) から COUNTERCOPY_MATCH(42分) へ短縮。いずれも元の経路が無傷な場合は短縮せず、失った物の買い戻しとして働く。",commit 1012b45 / 656件全成功
2026-08-06 22:00 JST,T02→T05橋渡し（下流での分岐消費）,"引き継ぎが繰り返し課題としていた「後続事件が分岐署名を消費していない」への対処。worldFlags.t02ResolutionRoute を読み、公開審理なら医師マリエルが外部証人を求め、賠償契約なら館の勝手口で領主の膳が台所を通っていないと気づき、公開帳簿の協同組合なら市場の売り手側から館の仕入れが薬に偏るのが見える、と導入を切り替える。三つの扉（領主館・倉庫街の仕入れ帳・港薬草商）はそれぞれ別の正史手掛かりを与える。村外で決着させた場合も外部者用の導入で入れる。",commit 5ab8208 / authored-mission-flow-t02-to-t05-bridge.js
2026-08-06 22:00 JST,T03牧場の夜（戦闘・兵站分岐の新設）,"従来のT03手書きは全経路が調査型だったため、力と兵站の枝を新設。先頭の一頭を叩く（ENC-0005、群れが森の奥を振り返る）、羊を先に動かす（狼は村でなく餌を追う＝巣移転案の根拠）、追わずに退路を辿る（森の奥へ帰れない）。力と追跡は別証拠で同じ「群れの後ろに上位捕食者」へ至り、餌の移動はそこへ至らない代わりに移転計画を開く。各枝に後続3択を付け4場面12択。ネネ婆の昔話が川へ視線を向ける。",commit 6daf4f0 / authored-mission-flow-t03-pasture-night.js
2026-08-06 22:00 JST,場面の占有を是正・並行関与の保証,"ユーザー方針「トラブルを一つずつ解消する考えは取らない。長期のものは並行関与してよい」に合わせて修正。T02夜明けは火事現場と広場のみに限定し宿や畑まで追いかけない。T02・T03とも後続場面は直前の選択から720分で失効し、半日離れれば機会が閉じる。未解決のT02がDay8のT03到達を妨げないことを回帰で固定した。",commit b8bd37a / authored-scene-does-not-monopolize.test.mjs
2026-08-06 22:00 JST,日常生活層の新設,"「常にトラブルの会話だけしないと全解決できないのはつまらない」への対処。井戸端・麦畑・麦穂亭の夜に各3択の寄り道を追加。手書きの事件場面が一つも出ていない時、かつ空腹・疲労が70未満（切迫時は生存側のEAT/LODGEを優先）の時だけ現れる最下層として実装。水をがぶ飲みする／畝に寝転ぶ／案山子を直す等の見返りの薄い枝と並んで、桶の縁の水位跡（正本で T13 の最初の兆候とされる地点）、子どもが話す小川の停止、硬い麦粒、女将の愚痴に出る猟師の森回避が、それぞれ T13・T03 の正史手掛かりを与える。事件の話を一切しないプレイヤーでも糸口を拾える。",commit b8bd37a / authored-mission-flow-village-daily-life.js
2026-08-06 22:00 JST,検証状況,"npm run trpg:test は 691件全成功、失敗0。新規テスト5ファイル（t02-granary-dawn 8件、t02-dawn-consequence 6件、t02-to-t05-bridge 8件、t03-pasture-night 11件、village-daily-life 11件、scene-does-not-monopolize 5件）。既存テストの削除・skip・期待値弱体化なし。有料Gemini API 0回。一時workflow・診断script・生成report・巨大log・backup・架空T20の追加なし。",691/691 PASS
2026-08-06 22:00 JST,次作業,"T04〜T19の接続区間を同じ方式で手書きし、区切りのついた時点でDay1からの通し再生（必須監査1〜3）へ入る。日常生活層は田園の村のみ実装済みなので、王都・交易都市・森など他拠点にも同様の寄り道層を広げる。T13の早期手掛かり（井戸の水位・小川・硬い麦）を実際にT13の発見導線へ消費させる接続はまだ行っていない。",次: 他拠点の日常層 + T13早期手掛かりの消費接続
2026-08-07 08:00 JST,引き継ぎシート同期の仕組みと制約,"GOOGLE_SERVICE_ACCOUNT_KEY は Repository secrets にあるため、シートへの書き込みは GitHub Actions からしか行えない。tools/trpg-sim/cli-handover-append.mjs と .github/workflows/trpg-handover-sync.yml を追加した。docs/trpg/handover-append-*.csv を読み、追記のみを行う。既存行の書き換えと削除はしない。行の同一性は日時と項目で判定するため、本文を推敲して再実行しても重複しない。冪等ロジックは handover-append.test.mjs 7件で固定。",commit 31a3257 / 追記のみ・冪等
2026-08-07 08:00 JST,同期を動かすために必要な一手,"このセッションのトークンからの push と PR 作成では workflow が起動しない（GitHub の再帰防止）。workflow_dispatch は既定ブランチにファイルが存在することが条件のため、trpg-handover-sync.yml が main に入るまで実行できない。既に main にある workflow を ref 指定で dispatch するのは成功したので、trpg-handover-sync.yml が main へ入れば以後は担当者側から常時実行可能になる。初回は HANDOVER_DRY_RUN=\"true\" で候補表示のみ。実反映へ切り替える時にこの env を false にする。",main へ入るまで保留 / dispatch自体は動作確認済み
2026-08-07 08:00 JST,PR #297 を作成,"PR #291 は方針ズレのため引き継がず、資産だけを継承した新規 PR #297「TRPG: 人徳ルートの縦区間・日常生活層・引き継ぎシート同期」を Draft で作成した。Base main、Head claude/trpg-virtue-route-main-143ar9。#291 のブランチには一切触れていない。#291 の扱い（Close するか併存させるか）は未決。",PR #297 Draft / #291 は未変更
