Day,月日,季節,地域,一日パターン,00:00,06:00,09:00,12:00,15:00,18:00,21:00,備考
1,8/1,盛夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
2,8/2,盛夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
3,8/3,盛夏,田園の村,clear;16=cloudy;19=clear,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,16:00から曇り・19:00から晴れ
4,8/4,盛夏,田園の村,clear;15=cloudy;19=clear,晴れ,晴れ,晴れ,晴れ,曇り,曇り,晴れ,15:00から曇り・19:00から晴れ
5,8/5,盛夏,田園の村,clear;17=storm;20=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,雷雨,曇り,17:00から雷雨・20:00から曇り
6,8/6,盛夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
7,8/7,盛夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
8,8/8,盛夏,田園の村,clear;19=storm;20=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,19:00から雷雨・20:00から曇り
9,8/9,盛夏,田園の村,cloudy;15=light_rain;18=cloudy,曇り,曇り,曇り,曇り,小雨,曇り,曇り,15:00から小雨・18:00から曇り
10,8/10,盛夏,田園の村,cloudy;09=clear,曇り,曇り,晴れ,晴れ,晴れ,晴れ,晴れ,09:00から晴れ
11,8/11,盛夏,田園の村,clear;18=storm;19=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,雷雨,曇り,18:00から雷雨・19:00から曇り
12,8/12,盛夏,田園の村,clear;15=storm;20=cloudy,晴れ,晴れ,晴れ,晴れ,雷雨,雷雨,曇り,15:00から雷雨・20:00から曇り
13,8/13,盛夏,田園の村,clear;17=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,17:00から曇り
14,8/14,盛夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
15,8/15,盛夏,田園の村,clear;14=cloudy,晴れ,晴れ,晴れ,晴れ,曇り,曇り,曇り,14:00から曇り
16,8/16,盛夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
17,8/17,盛夏,田園の村,clear;17=storm;18=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,17:00から雷雨・18:00から曇り
18,8/18,盛夏,田園の村,cloudy;15=rain;20=cloudy,曇り,曇り,曇り,曇り,雨,雨,曇り,15:00から雨・20:00から曇り
19,8/19,盛夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
20,8/20,盛夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
21,8/21,盛夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
22,8/22,盛夏,田園の村,clear;13=cloudy;18=clear,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,晴れ,13:00から曇り・18:00から晴れ
23,8/23,晩夏,田園の村,cloudy;17=rain;22=cloudy,曇り,曇り,曇り,曇り,曇り,雨,雨,17:00から雨・22:00から曇り
24,8/24,晩夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
25,8/25,晩夏,田園の村,cloudy;14=light_rain;18=cloudy,曇り,曇り,曇り,曇り,小雨,曇り,曇り,14:00から小雨・18:00から曇り
26,8/26,晩夏,田園の村,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
27,8/27,晩夏,田園の村,clear;18=storm;20=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,雷雨,曇り,18:00から雷雨・20:00から曇り
28,8/28,晩夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
29,8/29,晩夏,田園の村,clear;14=strong_wind;22=clear,晴れ,晴れ,晴れ,晴れ,強風,強風,強風,14:00から強風・22:00から晴れ
30,8/30,晩夏,田園の村,clear;16=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,16:00から曇り
31,8/31,晩夏,田園の村,cloudy;09=clear,曇り,曇り,晴れ,晴れ,晴れ,晴れ,晴れ,09:00から晴れ
32,9/1,晩夏,田園の村,cloudy;16=light_rain;17=cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,16:00から小雨・17:00から曇り
33,9/2,晩夏,田園の村,cloudy;13=light_rain;17=cloudy,曇り,曇り,曇り,曇り,小雨,曇り,曇り,13:00から小雨・17:00から曇り
34,9/3,晩夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
35,9/4,晩夏,田園の村,clear;13=cloudy,晴れ,晴れ,晴れ,晴れ,曇り,曇り,曇り,13:00から曇り
36,9/5,晩夏,田園の村,cloudy;10=clear,曇り,曇り,曇り,晴れ,晴れ,晴れ,晴れ,10:00から晴れ
37,9/6,晩夏,田園の村,cloudy;13=clear,曇り,曇り,曇り,曇り,晴れ,晴れ,晴れ,13:00から晴れ
38,9/7,晩夏,田園の村,clear;13=cloudy;18=clear,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,晴れ,13:00から曇り・18:00から晴れ
39,9/8,晩夏,田園の村,cloudy;15=light_rain;19=cloudy,曇り,曇り,曇り,曇り,小雨,小雨,曇り,15:00から小雨・19:00から曇り
40,9/9,晩夏,田園の村,clear;14=strong_wind;21=clear,晴れ,晴れ,晴れ,晴れ,強風,強風,晴れ,14:00から強風・21:00から晴れ
41,9/10,晩夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
42,9/11,晩夏,田園の村,clear;17=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,17:00から曇り
43,9/12,晩夏,田園の村,cloudy;15=light_rain;19=cloudy,曇り,曇り,曇り,曇り,小雨,小雨,曇り,15:00から小雨・19:00から曇り
44,9/13,晩夏,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
45,9/14,晩夏,田園の村,clear;16=cloudy;20=clear,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,16:00から曇り・20:00から晴れ
46,9/15,秋,田園の村,clear;16=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,16:00から曇り
47,9/16,秋,田園の村,cloudy;14=light_rain;17=cloudy,曇り,曇り,曇り,曇り,小雨,曇り,曇り,14:00から小雨・17:00から曇り
48,9/17,秋,田園の村,rain,雨,雨,雨,雨,雨,雨,雨,終日変化なし
49,9/18,秋,田園の村,cloudy;20=fog,曇り,曇り,曇り,曇り,曇り,曇り,霧,20:00から霧
50,9/19,秋,田園の村,clear;17=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,17:00から曇り
51,9/20,秋,田園の村,clear;13=cloudy;20=clear,晴れ,晴れ,晴れ,晴れ,曇り,曇り,晴れ,13:00から曇り・20:00から晴れ
52,9/21,秋,田園の村,cloudy;14=light_rain;17=cloudy,曇り,曇り,曇り,曇り,小雨,曇り,曇り,14:00から小雨・17:00から曇り
53,9/22,秋,田園の村,clear;10=strong_wind;19=clear,晴れ,晴れ,晴れ,強風,強風,強風,晴れ,10:00から強風・19:00から晴れ
54,9/23,秋,田園の村,clear;17=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,17:00から曇り
55,9/24,秋,田園の村,clear;17=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,17:00から曇り
56,9/25,秋,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
